Data;Energia elettrica consumata dalla pompa criogneica P200;PT101 Pressione offgas in ingresso al pretrattamento;Valore di recupero percentuale di CO2 dell'impianto;Energia elettrica consumata dalla soffiante V100;EM100 Compressor motor power;Energia elettrica consumata dal compressore V110;Percentuale funzionamento compressore;Energia elettrica consumata dal chiller F400;Energia elettrica consumata dal dissipatore V420;Energia elettrica consumata dal ventilatore V900;Energia elettrica consumata dalla scaldiglia HW203
20/06/2024 02:13:30;;50,043395996094;86,439697265625;365,40384615385;17,349999427795;4535,7058823529;59,333333333333;3722,35;;;
20/06/2024 02:13:40;;49,934883117676;92,379783630371;365,41025641026;17,299999237061;4535,7647058824;59,666666666667;3722,4;;;
20/06/2024 02:13:50;;49,999984741211;87,854148864746;365,41666666667;17,288888295492;4535,8235294118;60;3722,45;;;
20/06/2024 02:14:00;;49,999992370605;83,328514099121;365,42307692308;17,277777353923;4535,8823529412;60,25;3722,5;;;
20/06/2024 02:14:10;;49,999984741211;87,369102478027;365,42948717949;17,266666412354;4535,9411764706;60,5;3722,55;;;
20/06/2024 02:14:20;;49,956588745117;82,815475463867;365,4358974359;17,255555470785;4536;60,75;3722,6;;;
20/06/2024 02:14:30;;50,065093994141;81,144050598145;365,44230769231;17,244444529215;4536,0588235294;61;3722,65;;;
20/06/2024 02:14:40;;49,999984741211;75,947784423828;365,44871794872;17,233333587646;4536,1176470588;61,5;3722,7;;;
20/06/2024 02:14:50;;49,869781494141;75,058662414551;365,45512820513;17,222222646077;4536,1764705882;62;3722,75;;;
20/06/2024 02:15:00;;49,782981872559;74,169540405273;365,46153846154;17,211111704508;4536,2352941176;62,25;3722,8;;;
20/06/2024 02:15:10;;49,826385498047;77,179679870605;365,46794871795;17,200000762939;4536,2941176471;62,5;3722,85;;;
20/06/2024 02:15:20;;49,674468994141;72,264030456543;365,47435897436;17,299999237061;4536,3529411765;62,75;3722,9;;;
20/06/2024 02:15:30;;49,761276245117;66,911712646484;365,48076923077;17,199999809265;4536,4117647059;63;3722,95;;;
20/06/2024 02:15:40;;49,826385498047;62,64559173584;365,48717948718;17,10000038147;4536,4705882353;63,333333333333;3723;;;
20/06/2024 02:15:50;;49,782974243164;64,06628036499;365,49358974359;17;4536,5294117647;63,666666666667;3723,0476190476;;;
20/06/2024 02:16:00;;49,848083496094;65,486968994141;365,5;16,89999961853;4536,5882352941;64;3723,0952380952;;;
20/06/2024 02:16:10;;49,956588745117;57,144863128662;365,50641025641;16,799999237061;4536,6470588235;64,5;3723,1428571429;;;
20/06/2024 02:16:20;;49,848075866699;63,163173675537;365,51282051282;16,699999809265;4536,7058823529;65;3723,1904761905;;;
20/06/2024 02:16:30;;49,956581115723;65,02116394043;365,51923076923;16,60000038147;4536,7647058824;65,25;3723,2380952381;;;
20/06/2024 02:16:40;;49,999984741211;66,488204956055;365,52564102564;16,5;4536,8235294118;65,5;3723,2857142857;;;
20/06/2024 02:16:50;;49,956588745117;67,178909301758;365,53205128205;16,39999961853;4536,8823529412;65,75;3723,3333333333;;;
20/06/2024 02:17:00;;50,130195617676;67,869613647461;365,53846153846;16,299999237061;4536,9411764706;66;3723,380952381;;;
20/06/2024 02:17:10;;49,999984741211;65,241889953613;365,54487179487;16,349999427795;4537;66,333333333333;3723,4285714286;;;
20/06/2024 02:17:20;;50,065093994141;77,379211425781;365,55128205128;16,39999961853;4537,0588235294;66,666666666667;3723,4761904762;;;
20/06/2024 02:17:30;;50,086791992188;73,406753540039;365,55769230769;16,300000190735;4537,1176470588;67;3723,5238095238;;;
20/06/2024 02:17:40;;50,151901245117;81,201904296875;365,5641025641;16,200000762939;4537,1764705882;67,333333333333;3723,5714285714;;;
20/06/2024 02:17:50;;50,13020324707;75,49728012085;365,57051282051;16,222222858005;4537,2352941176;67,666666666667;3723,619047619;;;
20/06/2024 02:18:00;;50,151901245117;69,792655944824;365,57692307692;16,244444953071;4537,2941176471;68;3723,6666666667;;;
20/06/2024 02:18:10;;50,173599243164;73,344970703125;365,58333333333;16,266667048136;4537,3529411765;68,333333333333;3723,7142857143;;;
20/06/2024 02:18:20;;50,043388366699;83,169761657715;365,58974358974;16,288889143202;4537,4117647059;68,666666666667;3723,7619047619;;;
20/06/2024 02:18:30;;50,13020324707;77,923385620117;365,59615384615;16,311111238268;4537,4705882353;69;3723,8095238095;;;
20/06/2024 02:18:40;;50,065093994141;79,330894470215;365,60256410256;16,333333333333;4537,5294117647;69,333333333333;3723,8571428571;;;
20/06/2024 02:18:50;;50,065093994141;78,122093200684;365,60897435897;16,355555428399;4537,5882352941;69,666666666667;3723,9047619048;;;
20/06/2024 02:19:00;;50,13020324707;77,683132171631;365,61538461538;16,377777523465;4537,6470588235;70;3723,9523809524;;;
20/06/2024 02:19:10;;50,173599243164;77,244171142578;365,62179487179;16,39999961853;4537,7058823529;70,333333333333;3724;;;
20/06/2024 02:19:20;;50,086791992188;71,430549621582;365,62820512821;16,359999847412;4537,7647058824;70,666666666667;3724,0476190476;;;
20/06/2024 02:19:30;;50,043395996094;65,644844055176;365,63461538462;16,320000076294;4537,8235294118;71;3724,0952380952;;;
20/06/2024 02:19:40;;50,13020324707;62,153499603271;365,64102564103;16,280000305176;4537,8823529412;70,666666666667;3724,1428571429;;;
20/06/2024 02:19:50;;49,913177490234;60,879386901855;365,64743589744;16,240000534058;4537,9411764706;70,333333333333;3724,1904761905;;;
20/06/2024 02:20:00;;49,978286743164;61,141510009766;365,65384615385;16,200000762939;4538;70;3724,2380952381;;;
20/06/2024 02:20:10;;50,086791992188;61,403633117676;365,66025641026;16,25;4538,0588235294;69,75;3724,2857142857;;;
20/06/2024 02:20:20;;50,043395996094;62,67068862915;365,66666666667;16,299999237061;4538,1176470588;69,5;3724,3333333333;;;
20/06/2024 02:20:30;;49,999984741211;73,062889099121;365,67307692308;16,224999427795;4538,1764705882;69,25;3724,380952381;;;
20/06/2024 02:20:40;;50,065093994141;82,410278320313;365,67948717949;16,14999961853;4538,2352941176;69;3724,4285714286;;;
20/06/2024 02:20:50;;50,065093994141;85,898010253906;365,6858974359;16,074999809265;4538,2941176471;68,5;3724,4761904762;;;
20/06/2024 02:21:00;;50,13020324707;92,254817962646;365,69230769231;16;4538,3529411765;68;3724,5238095238;;;
20/06/2024 02:21:10;;50,086791992188;98,611625671387;365,69871794872;16,10000038147;4538,4117647059;67,666666666667;3724,5714285714;;;
20/06/2024 02:21:20;;50,217010498047;103,48085021973;365,70512820513;16,140000152588;4538,4705882353;67,333333333333;3724,619047619;;;
20/06/2024 02:21:30;;50,108497619629;107,14231872559;365,71153846154;16,179999923706;4538,5294117647;67;3724,6666666667;;;
20/06/2024 02:21:40;;50,086791992188;95,940734863281;365,71794871795;16,219999694824;4538,5882352941;67,25;3724,7142857143;;;
20/06/2024 02:21:50;;50,130195617676;137,8621673584;365,72435897436;16,259999465942;4538,6470588235;67,5;3724,7619047619;;;
